metabolite_id,sage_value,sage_value_sd
M33228,0.0009183149397448439,7.576763762009882e-05
M35186,0.0009005672521042381,7.104302159503125e-05
M34214,0.00010051980791204085,8.923462737075388e-06
M34419,0.0009877573837982134,9.52035190715213e-05
M32635,0.0008302708215125975,7.49552492952616e-05
M34395,0.0004963393726931568,3.6160112161243475e-05
M34389,0.00019349923584280362,2.281215258593921e-05
M48258,0.0014500976293849767,0.00011502710922110393
M35628,0.0008585627333415218,5.7887035157554775e-05
M33230,0.0005066017237303079,4.8265501139776066e-05
M21127,-0.000156696831255666,2.2417564505941865e-05
M33955,0.0006116473937764136,7.999561734384882e-05
M35631,0.00018539427573617548,2.3656070055165003e-05
M33961,0.0003498748484436385,5.3539545868918626e-05
M42398,0.00012798231322825804,1.9839954234966666e-05
M19324,-2.6399082237039426e-05,5.969875775898154e-06
M20675,0.00040061298020673225,4.510029727459583e-05
M34400,0.0006476692653220866,4.751612183159215e-05
M33971,0.00018513989353749098,1.7162153288905477e-05
M33972,0.00010858731054487246,1.0080785294002802e-05
M32497,-6.190931363553382e-06,1.8063034904770148e-06
M42374,6.8717458071707945e-06,4.731645540267017e-06
M35675,0.00015698493419164246,2.5286921280429357e-05
M17945,0.00016821434402496346,2.0188515010434954e-05
M45095,-3.447673379270305e-05,5.8220536645700827e-05
M35253,0.0010453624472576439,0.00010106191487783003
M32197,0.0002201834877162611,1.5477857031611715e-05
M31787,0.0010960926182913768,7.671052114354951e-05
M46410,0.00032041140814518154,5.2712276126758915e-05
M00542,3.38055475698278e-05,4.99796343162486e-06
M27672,-0.00013518014926609212,3.010127600462599e-05
M12017,-1.0952893124820492e-05,1.2354448691196384e-05
M44526,0.00023866852292913856,3.9464991476057464e-05
M15676,0.0012682872304738983,7.89373135757342e-05
M15677,-0.00014479566312698423,2.544666027065206e-05
M36099,4.160507812920584e-05,1.6195997223331384e-05
M22116,0.0012844331171899034,9.052789820736377e-05
M36098,4.6345533144184587e-05,7.159666910722138e-06
M33968,0.0002545891446410287,2.235482972341068e-05
M01494,-4.2811634639984146e-06,4.587847918779694e-06
M36776,-1.1873001356238936e-05,2.4276888749586907e-06
M34390,1.9387226643699592e-06,1.310399578425761e-05
M32198,0.00038605903745708746,2.98862081714251e-05
M32980,0.00041721175196129115,3.929722110655666e-05
M01126,1.0653087791418154e-05,5.197946265976757e-06
M01107,-0.0005464283372170821,4.633441663179194e-05
M33937,0.0010369189669273793,5.644147623020559e-05
