pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.0006421369148338749,3.6120736125749976e-05
Aminosugar Metabolism,0.00034012253560469704,1.831029403474328e-05
Ascorbate and Aldarate Metabolism,0.00011203523378968812,1.0351018053785293e-05
Benzoate Metabolism,0.00023258940356624857,2.480021736026757e-05
Carnitine Metabolism,8.175683716596655e-06,7.875118046116046e-07
Chemical,1.8751442110351696e-05,9.302087809630791e-06
Creatine Metabolism,0.00016407105653470618,3.3020400959214214e-05
Fatty Acid Metabolism (also BCAA Metabolism),9.357303181722451e-05,7.462507608099604e-06
Fatty Acid Metabolism(Acyl Carnitine),-9.02394662484732e-05,5.399523237950504e-05
"Fatty Acid, Branched",3.66029805151737e-05,7.374669431240899e-06
"Fatty Acid, Dicarboxylate",-9.89733489421522e-06,1.2737884664305216e-05
"Fatty Acid, Monohydroxy",6.02135869014021e-06,1.1687135342653959e-06
Food Component/Plant,-4.9122413418606466e-06,2.6760831136664014e-05
"Fructose, Mannose and Galactose Metabolism",0.0004717327461062945,2.6399755480920812e-05
Gamma-glutamyl Amino Acid,0.0003423735969623668,2.0418023563658647e-05
Glutamate Metabolism,3.092784266618161e-05,2.160355109024363e-05
Glutathione Metabolism,1.575626471943669e-05,6.2546065718177565e-06
Glycerolipid Metabolism,0.000524149707262241,2.480682531829466e-05
"Glycine, Serine and Threonine Metabolism",0.0007885865957761591,3.882279625118022e-05
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.0015654034052479816,6.273835317320003e-05
Hemoglobin and Porphyrin Metabolism,0.00070287027988833,3.457029228745364e-05
Histidine Metabolism,7.897013150235345e-05,7.5925601125214005e-06
Inositol Metabolism,6.279932716944298e-05,1.2673431502908548e-05
Ketone Bodies,-0.00010683527290238533,2.7433816730263454e-05
"Leucine, Isoleucine and Valine Metabolism",0.0014276554346056643,6.151412946779592e-05
Long Chain Fatty Acid,0.0008855870699050067,5.2441876405823444e-05
Lysine Metabolism,7.909707841403128e-05,9.440569089020958e-06
Lysolipid,0.000594055078336434,3.754774669525951e-05
Medium Chain Fatty Acid,0.0004506033639224043,2.757138150803868e-05
"Methionine, Cysteine, SAM and Taurine Metabolism",0.0003803345893636653,2.0970138597671664e-05
Monoacylglycerol,4.459580667100411e-05,4.27717713692246e-06
Oxidative Phosphorylation,-5.257857875248388e-05,8.425739513130079e-06
Pantothenate and CoA Metabolism,6.692634290883993e-05,6.945441042911489e-06
Phenylalanine and Tyrosine Metabolism,-0.00010996984914499793,3.879408374922589e-05
Phospholipid Metabolism,5.2684278017049465e-05,9.331373089917361e-06
Polyamine Metabolism,5.01801985120051e-05,6.5543554787863294e-06
Polyunsaturated Fatty Acid (n3 and n6),0.00040951901367692895,4.702526851034757e-05
Primary Bile Acid Metabolism,0.0004936857202673011,2.7397840136650656e-05
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.00018146812998325008,2.2976759739678522e-05
"Purine Metabolism, Guanine containing",0.00016753124814157966,1.3654246492628109e-05
"Pyrimidine Metabolism, Uracil containing",0.00019710433338032655,1.483453342358194e-05
Secondary Bile Acid Metabolism,0.0001367658405343225,1.2523842108380722e-05
Sphingolipid Metabolism,0.0001174817920533448,1.4361231561019244e-05
Steroid,0.0015149523027919057,7.81523584963222e-05
Sterol,0.00012901411284749716,1.1544355252995978e-05
TCA Cycle,0.0006728755442592175,2.9677356042999737e-05
Tocopherol Metabolism,1.8231946017753417e-05,1.5806185395285737e-06
Tryptophan Metabolism,7.522423329250781e-05,2.8427333328455587e-05
Unknown,0.0009159630998203973,7.487801905009574e-05
Urea cycle; Arginine and Proline Metabolism,0.00018657933834278394,2.088841922476422e-05
Vitamin B6 Metabolism,8.000814003403406e-05,1.1794167149041203e-05
Xanthine Metabolism,0.0001817895745099916,1.5872094228418928e-05
