pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.020429964354313504,0.002385084506729858
Aminosugar Metabolism,0.007453494872074657,0.00157444903802664
Ascorbate and Aldarate Metabolism,0.002610513252878045,0.00107172222389444
Benzoate Metabolism,0.018982449443446944,0.0044642284618949275
Carnitine Metabolism,0.007900838933555646,0.0017375247217485312
Chemical,0.02061446003059582,0.003695426425389644
Creatine Metabolism,0.07099222359338998,0.007571433236819816
Fatty Acid Metabolism (also BCAA Metabolism),0.009189709848812939,0.0013284170672434193
Fatty Acid Metabolism(Acyl Carnitine),0.46785554220775244,0.02427035777495644
"Fatty Acid, Branched",0.024291791545034674,0.005187571197597239
"Fatty Acid, Dicarboxylate",0.06573482754489672,0.005039323946004096
"Fatty Acid, Monohydroxy",-0.0003845341898581472,0.0005341226072318557
Food Component/Plant,0.011065948886118178,0.0023666907477229555
"Fructose, Mannose and Galactose Metabolism",0.008748135310638503,0.003134408394657864
Gamma-glutamyl Amino Acid,0.02138617339005817,0.0017970964828832702
Glutamate Metabolism,0.032596038051554796,0.005483383623842784
Glutathione Metabolism,1.0930647816071266e-05,4.859325981872954e-05
Glycerolipid Metabolism,-0.008081484425432672,0.001394015481587227
"Glycine, Serine and Threonine Metabolism",0.1459247616299921,0.0100945072875467
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.024866509841930395,0.006165005425263518
Hemoglobin and Porphyrin Metabolism,0.024608750473354854,0.0022336955065062228
Histidine Metabolism,0.031563811158845344,0.0035822164222712714
Inositol Metabolism,0.00034120843606334945,0.0008347382528992506
Ketone Bodies,0.0014870963756061565,0.00023927716929748825
"Leucine, Isoleucine and Valine Metabolism",0.4761312267870688,0.03127924434015697
Long Chain Fatty Acid,0.0625023151521394,0.01851959517303784
Lysine Metabolism,0.07883080805452501,0.005632047986199192
Lysolipid,1.014091599535392,0.049990720341574646
Medium Chain Fatty Acid,0.0191682937510898,0.002987109085014255
"Methionine, Cysteine, SAM and Taurine Metabolism",0.05518497914704044,0.004845927262655651
Monoacylglycerol,0.010065372084376356,0.00138153442632679
Oxidative Phosphorylation,-0.0034268292766837763,0.0021617267328330188
Pantothenate and CoA Metabolism,0.003694883106552036,0.0009063600424387433
Phenylalanine and Tyrosine Metabolism,0.07327292861300448,0.006363409058342326
Phospholipid Metabolism,0.0012544667575882928,0.0012325932899235623
Polyamine Metabolism,0.004771613800789342,0.0012824041300848238
Polyunsaturated Fatty Acid (n3 and n6),0.1906526908735251,0.01744843462475806
Primary Bile Acid Metabolism,-0.00635561141063556,0.0020563410551017315
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",-0.0018797127421857978,0.001588167072200733
"Purine Metabolism, Guanine containing",0.02191301835817953,0.002684942640204815
"Pyrimidine Metabolism, Uracil containing",0.04994518290034036,0.00516144324521964
Secondary Bile Acid Metabolism,-0.007168945549964715,0.001286969211248685
Sphingolipid Metabolism,-0.0012301289010795667,0.0004709381209658567
Steroid,0.14505267976144753,0.017738487301035687
Sterol,0.005761396634306744,0.0013171108970218386
TCA Cycle,0.03499871238414843,0.003882931595425706
Tocopherol Metabolism,-0.0009116745312745266,0.0004247535293093806
Tryptophan Metabolism,0.08105903532582097,0.006630181873847654
Unknown,0.21850707216886708,0.012828474036986486
Urea cycle; Arginine and Proline Metabolism,0.031951558975977186,0.004554674307188861
Vitamin B6 Metabolism,0.000270473812899526,0.0003621537520921011
Xanthine Metabolism,0.055997639746518085,0.007010583223652847
