metabolite_id,sage_value,sage_value_sd
M33228,-1.1980850227949459e-05,1.5996141698823474e-06
M35186,-3.5394694938445595e-06,7.909190950052411e-07
M34214,3.3193270502429516e-05,2.0319546009236435e-06
M34419,-1.0215528828914032e-05,1.9907196639745035e-06
M32635,4.729592638613814e-06,5.136772442058969e-07
M34395,8.536331048669319e-05,5.287535959144346e-06
M34389,0.00013626122151684682,8.182715505009044e-06
M48258,-5.197638120596229e-05,4.145872860876274e-06
M35628,4.863526121747296e-06,5.859035177342971e-07
M33230,-2.558713180226413e-07,8.354506990238769e-07
M21127,2.4249131259001743e-05,2.2817049783598803e-06
M33955,-1.7606535420905844e-05,3.6577656849430047e-06
M35631,4.415523187365715e-05,3.819650388077168e-06
M33961,-9.6242350938763e-06,1.7358871096194004e-06
M42398,1.9037713208324922e-05,2.7474996840267574e-06
M19324,3.228274533243273e-05,3.0795329613004607e-06
M20675,-2.2702770077945934e-06,9.176508360304715e-07
M34400,0.0001274200544592506,6.913986976526076e-06
M33971,1.581233993440323e-05,8.202886113558936e-07
M33972,5.722098425835703e-05,2.7539879767891592e-06
M32497,1.0414094076298174e-05,9.331782600598753e-07
M42374,-1.230683165936179e-05,5.748444517395707e-06
M35675,5.98106165253466e-07,5.667444888629883e-07
M17945,2.0037506922091257e-06,1.107490133901894e-06
M45095,-1.679164161472966e-05,3.5863325023915967e-06
M35253,-1.7706516880806947e-05,2.9664086310143222e-06
M32197,0.00017017013757184517,1.063316690283927e-05
M31787,-1.4575012206021496e-06,5.223535667437334e-06
M46410,4.7977931924777875e-06,1.779967349192763e-06
M00542,0.00031550971856735764,1.5417053360924073e-05
M27672,-5.618962877926207e-05,4.926327518673054e-06
M12017,7.407018802131898e-06,1.6982943058765596e-06
M44526,4.6518874571505417e-05,4.330594098730305e-06
M15676,-5.094806107188968e-05,4.598344903802268e-06
M15677,-1.5865498698241998e-05,1.7093704317696883e-06
M36099,9.493969474573425e-06,1.7845477848001968e-06
M22116,-3.4758332361992306e-05,4.473744932960216e-06
M36098,1.421374950926523e-07,7.827823729040576e-07
M33968,-9.993597882492061e-05,5.495733126773514e-06
M01494,2.874780787956659e-06,1.00033567727939e-06
M36776,3.2642985947603315e-06,1.4739554852699218e-06
M34390,2.441040370785316e-05,4.2537256962532566e-06
M32198,0.00013642525616521927,7.521538232600458e-06
M32980,1.7424793343270358e-05,1.9090554353141415e-06
M01126,5.444552958641532e-05,9.264088337841583e-06
M01107,4.059907506755849e-05,1.892206242005729e-06
M33937,-1.7125330470444305e-06,8.077945025618805e-07
M33453,5.925455448756723e-06,1.9380265897209594e-06
M01561,8.502439999191003e-06,6.338237668338705e-07
M31591,0.00015730835113385283,9.116572205603194e-06
M01110,7.81187321496345e-05,5.164928254861411e-06
M01638,-3.596891963147996e-05,1.2608801271821622e-05
M00512,9.385295421330788e-08,6.890948359531593e-07
M12129,7.935005143509828e-05,1.1677542723003373e-05
M03141,7.059290426184203e-05,7.153363112848656e-06
M32586,8.843745185295192e-06,1.940642529656597e-06
M43807,7.643895867076225e-06,9.387322919173392e-07
M02137,1.2790314145348355e-05,7.671653333195155e-07
M32412,3.7186131536952773e-06,1.166176384075778e-06
M00569,6.785313974288441e-05,4.985108084727362e-06
M01642,1.3599982643492988e-05,1.8741064496281607e-06
M32492,4.3305792910272454e-05,2.885020643316455e-06
M15500,-2.3435003753436153e-06,6.317382460766246e-07
M35320,-2.888462299519552e-07,7.199559583020535e-07
M22842,-8.407945881702342e-06,1.5620453147771463e-06
M00063,8.046754976624089e-06,1.2955390447363286e-06
M15506,7.255801526608125e-07,1.5332432731862235e-06
M01564,2.0152246562319298e-05,1.1134587892425493e-06
M02132,7.545660716898307e-06,1.38400333676866e-06
M01712,2.64893744635178e-05,1.7230276599975542e-06
M01769,5.500115450977541e-05,3.6805420422402452e-06
M27718,0.00020687281754325855,1.1530787836197374e-05
M00513,1.8513122726500383e-05,2.917049183366605e-06
M31453,1.838260441641285e-05,1.7223592349651737e-06
M33941,7.508828682272994e-05,1.0642472147095728e-05
M32425,0.00011127592552836682,4.7523237682279925e-06
M17805,5.6245524190994965e-06,5.704695583407478e-07
M35718,-2.8723997973036073e-06,3.268355686749664e-06
M44675,3.212632462541599e-05,6.416486410847586e-06
M32504,4.671370315050414e-05,5.578777989730536e-06
M32388,5.6603368167246696e-05,5.093217754870939e-06
M18467,7.589478256155511e-05,6.818969324793736e-06
M33587,2.5750412023467047e-05,1.6130413964614655e-06
M33973,0.0001904534898242612,9.618732206728027e-06
M20699,2.95148140435527e-05,3.579111162875737e-06
M33477,-1.416828567588211e-05,2.9826381509970884e-06
M00577,3.304434619130733e-05,2.248602060483421e-06
M02730,-1.467677003651611e-05,2.378016768187437e-06
M34456,1.1248187206669677e-05,6.938050983042403e-07
M18369,1.793118017860728e-05,9.279532855604594e-07
M33422,1.6911820925849337e-05,1.3770805151127709e-06
M02734,0.00012733016960401902,8.377333375669743e-06
M43829,2.7527081511616378e-05,1.6456618250338981e-06
M20488,5.665029612393629e-05,3.910499352721342e-06
M00057,1.0893461462568596e-05,3.6707492562988614e-06
M00053,3.417798456026566e-05,3.485361786378525e-06
M01572,-8.424919059727336e-06,3.7154963628415945e-06
M15122,-8.457195909586147e-05,4.238366579912541e-06
M15365,9.364862084938447e-05,6.233580880703298e-06
M15990,0.00019500590144168564,8.741581396025815e-06
M00058,1.8256455767351732e-05,1.8691628601839127e-06
M32346,1.5081686537212165e-05,7.246597033768771e-07
M18476,2.1146605538811406e-05,9.241975349808997e-07
M41754,-2.516034870776703e-06,6.372140160259639e-07
M32328,-2.6915239559467406e-05,4.992297098032078e-06
M15753,1.794540266317319e-05,1.9359205326985823e-06
M00059,6.172068324187533e-06,9.784835441460986e-07
M03127,-3.3232867677789294e-05,2.6425002513981816e-06
M27513,-1.7207375039446106e-05,1.5653969615047715e-06
M18349,2.772114966526714e-05,1.7103018333269773e-06
M32405,4.068004331401417e-05,4.175875277745272e-06
M33441,3.6192517216235568e-06,6.326612578434033e-06
M01125,-4.612099689730861e-05,3.587709594344015e-06
M34407,-5.744533679733847e-05,5.626676802312723e-06
M15140,-2.5098090335168656e-06,1.5487362518974786e-06
M00527,-4.551674583107748e-07,4.775279175185102e-07
M01645,-7.719290135148374e-06,1.0070325075627546e-06
M00060,-8.462137977016345e-05,5.904019863106913e-06
M01105,1.5827173226372856e-06,7.249512776157526e-07
M34035,-7.563983623844874e-06,1.7988227326565527e-06
M01301,7.0717295057873436e-06,1.3069190377368912e-06
M01303,-2.3434525105687644e-05,1.6721544088532358e-06
M00584,9.75950517820867e-05,6.864360013108331e-06
M01121,2.513586729431993e-05,1.924309211157032e-06
M01302,1.6124970688963277e-05,9.97333520050398e-07
M19934,2.6871473852892434e-06,7.270003526291735e-07
M01365,-2.075831178175757e-06,5.247693603452567e-07
M32418,-3.201642629749659e-05,1.675635272942564e-06
M01585,5.778978148081861e-06,6.328319203629878e-07
M27710,0.000264371951555522,1.5756628188959933e-05
M33939,-8.068132262226573e-06,6.2740340297130815e-06
M35137,1.7612761022804836e-05,2.1320242881076842e-06
M33936,7.293877247073363e-05,1.1805498270434988e-05
M35160,3.910169962177022e-05,3.7795129418576406e-06
M01493,8.330258009022763e-07,2.0518840327242507e-06
M36103,3.323669801179203e-05,3.03073620047015e-06
M01336,1.0430398170487489e-05,7.655911534087135e-07
M33447,-6.251809309044787e-09,6.096911471325958e-07
M44681,1.6535670378901757e-05,4.099623017515383e-06
M01508,-1.3417829469938763e-05,1.975602566018518e-06
M18254,5.337602737052497e-05,5.377187670648267e-06
M32553,1.145455909671253e-05,1.5992580417787126e-06
M35126,6.918500914128657e-05,6.214923635897689e-06
M00064,6.825779370418553e-06,1.1943865030627497e-06
M22130,2.2856475872386445e-05,1.6592881596406606e-06
M11438,6.734930701705019e-05,3.5417725367774407e-06
M01444,1.3398894506910928e-05,1.6314162224915183e-06
M33935,1.796485150572095e-05,1.755214231395951e-06
M35127,2.7302329033463477e-06,1.3670371098379384e-06
M01898,3.740306971226577e-05,4.822658818696157e-06
M32452,-1.4065155580932377e-05,2.2182395405661887e-06
M33442,1.883282312695733e-06,5.349087495910091e-07
M31555,-4.273107804319951e-06,4.710223361279624e-06
M46225,8.721572001236566e-05,4.412157238003714e-06
M22250,3.6302947955903125e-05,2.4663206903645e-06
M18335,7.67690543320683e-05,5.389485421383507e-06
M01648,0.00010146248853640253,7.887618791525358e-06
M34384,0.00011420192493776795,7.283980525254687e-06
M01358,3.464109163023904e-05,2.624024639365825e-06
M33969,-1.0990046410653382e-06,5.009776390338615e-06
M34409,2.750471136874552e-05,3.3412397444097306e-06
M18494,-3.6331858352916573e-06,7.127504875826564e-07
M36850,2.831440808940444e-05,2.577121389154477e-06
M18392,5.078773952672806e-05,4.296265115805532e-06
M18394,0.00011551471381290016,6.727882358472338e-06
M27738,-1.3329986057635722e-06,1.575460479641296e-06
M32306,-1.2462239725862454e-06,1.0845862506414244e-06
M00054,1.942467227702604e-05,1.796721518037635e-06
M01299,9.24182256929818e-05,7.319549393316974e-06
M01604,5.3677348761267375e-06,9.147219818159267e-07
M01670,-3.774277365747627e-05,4.6363476611490515e-06
M00606,6.239843273891719e-06,7.940489128139961e-07
M01649,-2.3553099936582067e-05,5.069930190438398e-06
M03147,1.7670323767698448e-05,1.4468419199462014e-06
M32735,3.3169051354417718e-06,1.6002816273700326e-06
M46500,8.589267626856808e-06,7.830818751729024e-07
M32786,6.740224470397851e-06,5.364697543764917e-06
M43258,4.774544333344435e-06,8.828704572207793e-07
M46146,-8.075542661163758e-06,1.9045187645696545e-06
M46355,1.9515394285837932e-05,3.1568305223888766e-06
M32578,6.2796561791194e-06,1.471956599258727e-06
M46594,-1.4438813770054288e-05,1.0278815027049336e-06
M32698,3.546692509802433e-05,7.559988830310409e-06
