pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,4.17433072872377e-05,3.842197586854267e-06
Aminosugar Metabolism,3.681962449094031e-06,5.710454444040805e-07
Ascorbate and Aldarate Metabolism,1.5615083239855203e-05,3.494166813062623e-06
Benzoate Metabolism,6.943660061132508e-05,6.318756056486019e-06
Carnitine Metabolism,4.0176619313227766e-05,3.184999838819007e-06
Chemical,8.441265472173869e-06,1.1288267939441904e-06
Creatine Metabolism,-8.929128200625572e-06,3.3289062367606277e-06
Fatty Acid Metabolism (also BCAA Metabolism),3.466143754205761e-05,2.8584317216254726e-06
Fatty Acid Metabolism(Acyl Carnitine),9.42067577707656e-05,7.079244209143692e-06
"Fatty Acid, Branched",2.423914933425536e-05,2.8481701141925855e-06
"Fatty Acid, Dicarboxylate",0.00022846048830474017,1.3141908264481937e-05
"Fatty Acid, Monohydroxy",1.050292742559784e-05,2.2691591653564884e-06
Food Component/Plant,5.7316345094127826e-05,4.703429885434666e-06
"Fructose, Mannose and Galactose Metabolism",2.969273250899491e-05,2.8989665823684164e-06
Gamma-glutamyl Amino Acid,4.151729259854812e-05,1.0763137607642944e-05
Glutamate Metabolism,5.47009373246086e-05,9.259065504696208e-06
Glutathione Metabolism,-3.0669437373383837e-06,2.6804154569358697e-06
Glycerolipid Metabolism,0.0001360344981407442,8.73737089231553e-06
"Glycine, Serine and Threonine Metabolism",0.00013151322533533298,9.056322356351743e-06
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",5.056378704750585e-05,5.77526096835757e-06
Hemoglobin and Porphyrin Metabolism,6.45471805626376e-05,1.0660380188062184e-05
Histidine Metabolism,0.00012360507663066687,8.992614064131891e-06
Inositol Metabolism,1.0437547153994542e-05,1.9249748221869594e-06
Ketone Bodies,6.482017681540981e-06,8.156274229953409e-07
"Leucine, Isoleucine and Valine Metabolism",0.00011592725038123218,1.0544853329633354e-05
Long Chain Fatty Acid,0.0002312045616671841,1.6241061965109912e-05
Lysine Metabolism,-8.0919734464392e-06,1.5921706510678144e-06
Lysolipid,0.0007339559855011667,3.374344730435733e-05
Medium Chain Fatty Acid,0.00013272235698506525,9.78205673546156e-06
"Methionine, Cysteine, SAM and Taurine Metabolism",7.288110739598112e-06,2.468556508375476e-06
Monoacylglycerol,1.7689827303021296e-06,2.052281554374636e-06
Oxidative Phosphorylation,2.9765844904494642e-05,2.6691315877718676e-06
Pantothenate and CoA Metabolism,9.130973299290344e-06,4.482388116801758e-06
Phenylalanine and Tyrosine Metabolism,7.625358457206984e-05,1.238114840864495e-05
Phospholipid Metabolism,-9.047423155667731e-07,2.8508215659062144e-06
Polyamine Metabolism,1.3255558733652977e-05,1.839105893818462e-06
Polyunsaturated Fatty Acid (n3 and n6),0.00039668544028844034,1.849485202990341e-05
Primary Bile Acid Metabolism,9.543168600688299e-05,9.688488554153551e-06
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",9.191772286596534e-05,7.77104830314643e-06
"Purine Metabolism, Guanine containing",2.3872827338514137e-06,1.2764079145911823e-06
"Pyrimidine Metabolism, Uracil containing",3.180677945046033e-05,3.6108218828152686e-06
Secondary Bile Acid Metabolism,-4.486251092311025e-06,4.8046336541353584e-06
Sphingolipid Metabolism,1.4328156582837875e-05,1.3807409110566411e-06
Steroid,0.0001504877477011369,1.5188419923635887e-05
Sterol,1.7827451479511963e-05,1.986088483930845e-06
TCA Cycle,3.508906083262176e-05,3.74972654855498e-06
Tocopherol Metabolism,-5.275955571580575e-06,1.084729480251042e-06
Tryptophan Metabolism,0.00011635587114386847,8.22970103821345e-06
Unknown,0.0005617842174590698,3.035371543153228e-05
Urea cycle; Arginine and Proline Metabolism,0.0002167180301677301,1.3129726456659948e-05
Vitamin B6 Metabolism,0.00012021311676495019,1.1901726463007322e-05
Xanthine Metabolism,3.4085342639316594e-05,5.8212386447078615e-06
