metabolite_id,sage_value,sage_value_sd
M33228,-9.603661957544874e-05,2.665914900622877e-05
M35186,0.00016011207898100862,6.136230035854247e-05
M34214,9.114723935009329e-06,3.172594355114789e-05
M34419,-2.6012471306442706e-05,5.7733979479491994e-06
M32635,-9.000036837163169e-05,2.637794169443e-05
M34395,9.094170219558803e-06,2.129944155088316e-06
M34389,-1.8851555001786336e-05,5.055347095043107e-06
M48258,-9.007718431073863e-05,1.712949305856422e-05
M35628,-0.0001764788742053459,5.274135624305111e-05
M33230,7.227000151391167e-05,1.2661613072772674e-05
M21127,0.00015374747554857454,1.6082523413874952e-05
M33955,-6.757944675282503e-05,1.8815487221553052e-05
M35631,-6.896819854816286e-05,3.5962094019534067e-05
M33961,0.0001440846957607635,3.665924670928675e-05
M42398,2.5509103558167144e-05,1.6000843785601244e-05
M19324,0.00010895738105886344,1.0364625955388803e-05
M20675,1.6350517714944612e-05,2.569454319936975e-06
M34400,0.00017714265934434052,2.0467610861920447e-05
M33971,4.5466920849918536e-05,5.31158214299684e-06
M33972,4.2800318492586854e-05,1.1741466111478761e-05
M32497,3.414374200716855e-05,1.3072912158808116e-05
M42374,-3.855263659837748e-05,2.47979103296605e-05
M35675,1.0963336350668082e-06,2.0609458119829744e-06
M17945,1.689719663246862e-05,3.157972619586258e-06
M45095,0.000712151545510372,6.477986625926839e-05
M35253,0.00011466820552440364,2.2993349352745038e-05
M32197,0.0005770254842747363,4.1432926772764006e-05
M31787,0.00016471394438667165,3.41996343025975e-05
M46410,3.960741034287058e-05,2.160714470935363e-05
M00542,0.0003843178900623963,6.211286483934008e-05
M27672,0.0015263527932975619,0.00012471821944114647
M12017,0.0001120993383795359,1.7825016338120777e-05
M44526,0.00042396320571384767,3.484839400838481e-05
M15676,7.598195455463003e-05,5.255709225303595e-05
M15677,0.00035599808269854284,5.3779123577681645e-05
M36099,1.565426049442683e-05,1.1266046985781643e-05
M22116,8.18056386444447e-05,4.133143946775634e-05
M36098,0.00010498955074842163,1.9390246518604418e-05
M33968,0.00041550017395119727,3.7653977145647186e-05
M01494,0.00023742663645797728,2.9330568426548095e-05
M36776,0.00022797961940134468,2.2453060675651698e-05
M34390,-3.4694737446850835e-05,1.1607064495050941e-05
M32198,1.0055050163993149e-05,5.536512891263963e-06
M32980,0.00010365647163944795,5.198751034235768e-05
M01126,0.0011829719172793164,7.167103492675162e-05
M01107,0.0006718253007669667,5.411361233666168e-05
M33937,-0.00014215381265024146,8.297852623625282e-05
M33453,3.499840554503895e-05,9.675810712432687e-06
M01561,0.00012647439115227242,1.153525122406746e-05
M31591,2.660934957388776e-05,6.807691108940489e-06
M01110,-9.25055993020009e-05,3.3906502520746684e-05
M01638,-0.0002596751671559415,4.173866651426962e-05
M00512,0.000596068710893319,5.37246700749158e-05
M12129,0.0023863681853241348,0.00013847765355006657
M03141,0.0035425281921075014,0.00016140260892327668
M32586,6.93032037432823e-07,2.44023393479543e-06
M43807,5.310421375751595e-05,1.4284904652019747e-05
M02137,0.0001408875280556418,2.5710200621099797e-05
M32412,0.00019916011510568812,7.00033092507743e-05
M00569,0.00014763550737213914,1.759088418596603e-05
M01642,6.359279048085837e-05,1.9065869105295352e-05
M32492,-5.720762560382708e-06,3.182210386621825e-05
M15500,0.0001413887373367952,1.569368751569051e-05
M35320,0.00019547677321374242,1.5444996559227473e-05
M22842,-4.523132542786538e-05,2.546050475613982e-05
M00063,2.215666120138933e-05,8.987438732281904e-06
M15506,0.0001798847868567503,3.571380012032045e-05
M01564,-5.384868860231737e-05,1.3019504924704177e-05
M02132,0.0001398077075789165,2.3748892897739613e-05
M01712,0.00013936118533924225,6.175235143657594e-05
M01769,-2.8027162802759932e-05,2.7490097725769896e-05
M27718,0.0023666006873239824,0.00010150051158736214
M00513,-3.311224535303288e-05,5.93757829598542e-06
M31453,0.00011142989055841685,1.1472109034616032e-05
M33941,0.0019229282479264489,0.00013330022169689417
M32425,-2.4586129131275752e-05,6.133568484758723e-06
M17805,5.637676264562953e-05,1.050270050718735e-05
M35718,8.668290157259074e-06,8.37370126791943e-06
M44675,0.00011321797422341172,1.5130886637675908e-05
M32504,0.00012208465447156966,1.5040740931400999e-05
M32388,0.0005130251528858931,7.028931458069535e-05
M18467,0.00037022266719364253,3.6806900799547265e-05
M33587,8.188771922165657e-05,1.4415352707167833e-05
M33973,5.773141628213338e-05,5.8673516675220095e-06
M20699,-6.206142379750638e-05,1.7001486293146355e-05
M33477,-1.3896899797837871e-05,1.2374244770086085e-05
M00577,0.000786758518756537,4.730399638672081e-05
M02730,0.00011022952577506527,2.525040040080179e-05
M34456,0.0007094162444764887,3.944079752283395e-05
M18369,0.001435326985176578,7.55309738299369e-05
M33422,0.00129029103872318,7.694551416327964e-05
M02734,0.0017861809288097546,8.960387778750467e-05
M43829,0.0010418643924510454,6.115747143639053e-05
M20488,0.0007412187778966185,6.253943388686795e-05
M00057,0.0007597037615469936,6.977051643240562e-05
M00053,0.00041073003660986287,4.2560284198198584e-05
M01572,0.0002443163647415297,3.321378321822316e-05
M15122,0.0006589573491244194,5.0198673036477844e-05
M15365,0.0003349366752228331,2.4253881544650482e-05
M15990,0.0005687397515571122,3.193058084403776e-05
M00058,0.004750195679331058,0.0002373651149227966
M32346,0.00010316461412893193,8.774233692339439e-06
M18476,0.00028531338087588865,2.2093457640082514e-05
M41754,-0.00020381951302044112,2.454676497626188e-05
M32328,0.0028990249946270748,0.00014592149816690045
M15753,2.517579722199257e-05,7.437487605355192e-06
M00059,0.00010811059357926421,2.5125035283356834e-05
M03127,4.656027924360227e-05,5.087531997723564e-06
M27513,-3.501825711630423e-05,1.8734189572624797e-05
M18349,-3.306010981975463e-05,9.621859306235482e-06
M32405,0.0002455256027230171,2.105538213413785e-05
M33441,0.0014556100716517717,7.795275016628405e-05
M01125,0.0002798446039124212,2.649677125659527e-05
M34407,-5.027003283355901e-05,2.5502279787350525e-05
M15140,5.8662072693521526e-05,2.904699442779746e-05
M00527,-2.8423923296882778e-05,1.3890860687765474e-05
M01645,2.876103290709281e-05,1.9913621611764047e-05
M00060,0.0007890985932510743,4.955695117792367e-05
M01105,6.709306680792568e-05,5.583700477136746e-06
M34035,3.603101554488907e-05,6.461384977562753e-06
M01301,1.6066768792242224e-05,6.127056428382428e-06
M01303,5.945189409655609e-05,1.155853888049116e-05
M00584,0.0003308009913427241,3.466176939919018e-05
M01121,9.920895108446572e-05,1.375497933368875e-05
M01302,0.0001852718899355642,5.8391554521785874e-05
M19934,1.559422802489107e-05,3.4967232656292522e-06
M01365,7.670594847865955e-05,1.172234833096427e-05
M32418,-5.143649836533586e-05,1.2904953196561445e-05
M01585,0.00041671089226318184,2.680726783188779e-05
M27710,0.0001657102784913879,3.135451855790285e-05
M33939,0.0002506402819257109,2.067739248475409e-05
M35137,2.061853455557889e-05,7.526823029992134e-06
M33936,0.003192070317031917,0.00016699046118308933
M35160,0.0003208609187402222,3.6606372338644856e-05
M01493,7.917809116866907e-05,2.2410793882595978e-05
M36103,0.000623553554010589,3.891162336959501e-05
M01336,7.686480994134385e-05,6.378702693067173e-06
M33447,2.9347396936665833e-05,4.36424582251075e-06
M44681,0.0006072988156465502,4.9074692279819046e-05
M01508,0.0002135973857712813,4.4684112840584764e-05
