pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,0.000508129266899367,7.500836319249013e-05
Aminosugar Metabolism,0.00033796842468896137,2.985866928855129e-05
Ascorbate and Aldarate Metabolism,0.00018248691459395744,2.890158781163199e-05
Benzoate Metabolism,0.0030913559533502703,0.00029090633208541327
Carnitine Metabolism,5.343529360315423e-05,2.2606072648639153e-05
Chemical,0.0009673377455825735,7.266617150876221e-05
Creatine Metabolism,0.0003702787063167159,6.744754282144989e-05
Fatty Acid Metabolism (also BCAA Metabolism),-0.0002418914727485861,4.698321809880518e-05
Fatty Acid Metabolism(Acyl Carnitine),0.002102566796112074,0.00014516318929964404
"Fatty Acid, Branched",0.0003422412484821631,0.0001243449365678773
"Fatty Acid, Dicarboxylate",-0.0004762136714192446,7.574893178222152e-05
"Fatty Acid, Monohydroxy",0.0005894108551504931,7.514412909646e-05
Food Component/Plant,-0.00011433988279843763,8.794092345440423e-05
"Fructose, Mannose and Galactose Metabolism",0.004930631280097321,0.0002181094930801063
Gamma-glutamyl Amino Acid,-9.434088303406531e-05,3.413271233225761e-05
Glutamate Metabolism,0.0009153595879331248,6.997090318565284e-05
Glutathione Metabolism,9.866299444380565e-05,1.5910282223315083e-05
Glycerolipid Metabolism,0.004661447344337354,0.00018629695383740882
"Glycine, Serine and Threonine Metabolism",-0.0013273679465356685,0.00031449990483411414
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.007679256195149745,0.0003387413132524762
Hemoglobin and Porphyrin Metabolism,-0.00039821970238870823,0.00013330193924757967
Histidine Metabolism,6.11180133268388e-05,5.80474495786322e-05
Inositol Metabolism,0.00037319476047336503,5.4643251761902956e-05
Ketone Bodies,5.742020282134497e-05,1.1251683929924175e-05
"Leucine, Isoleucine and Valine Metabolism",0.0022614147160390286,0.00017185697981687723
Long Chain Fatty Acid,-0.00019370926697122998,7.572552916323069e-05
Lysine Metabolism,0.00022959703359291413,0.00010267481440554298
Lysolipid,0.003481660651551632,0.0002382837563357408
Medium Chain Fatty Acid,0.0005909673569333015,0.00017419288736823847
"Methionine, Cysteine, SAM and Taurine Metabolism",-0.00018128512690093344,3.0846096380819e-05
Monoacylglycerol,0.0004461145870472255,3.4657893903857636e-05
Oxidative Phosphorylation,0.0001202218838952814,8.567477453776764e-06
Pantothenate and CoA Metabolism,0.0007489824357889238,6.72004055789392e-05
Phenylalanine and Tyrosine Metabolism,0.0053877693395381655,0.00024796161602558134
Phospholipid Metabolism,0.003639750885303289,0.0001704726316152285
Polyamine Metabolism,1.2343275076452351e-05,3.2368170475881528e-06
Polyunsaturated Fatty Acid (n3 and n6),0.004066104447299861,0.00032116703663400705
Primary Bile Acid Metabolism,0.0004917011673966248,0.00024378093721151778
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4.73055906715559e-05,4.273929726524703e-05
"Purine Metabolism, Guanine containing",7.983722194391639e-05,3.0634628738797014e-05
"Pyrimidine Metabolism, Uracil containing",0.00029232826024472563,5.183322765095292e-05
Secondary Bile Acid Metabolism,0.00036115556644909476,8.075155584955558e-05
Sphingolipid Metabolism,-1.667410980570291e-05,8.097201331705609e-05
Steroid,4.812066676559746e-05,0.00010656050742661236
Sterol,0.00027340710935863454,6.452456508455221e-05
TCA Cycle,-0.0002833270098877493,3.0275220722307856e-05
Tocopherol Metabolism,-0.0001324681811653889,1.385087334235957e-05
Tryptophan Metabolism,0.0035700680058518117,0.00022558063678051522
Unknown,0.0062132874016180345,0.00036264549202764083
Urea cycle; Arginine and Proline Metabolism,0.001965663125910728,0.00019299945336545836
Vitamin B6 Metabolism,0.0025281704323292437,0.00021359623964993293
Xanthine Metabolism,0.00018254890868622686,7.173385329903027e-05
