pathway_name,sage_value,sage_value_sd
Alanine and Aspartate Metabolism,-0.00023208868023057424,2.330434654845701e-05
Aminosugar Metabolism,0.000605184439747586,3.6801714478482476e-05
Ascorbate and Aldarate Metabolism,0.0004567936460652474,4.4942543867074204e-05
Benzoate Metabolism,0.001487078512467214,9.49498780857372e-05
Carnitine Metabolism,0.0005573090219101038,3.476222318552906e-05
Chemical,2.2243995351699974e-05,5.8344863752744395e-06
Creatine Metabolism,0.0024645175875006,9.917267997481784e-05
Fatty Acid Metabolism (also BCAA Metabolism),0.0013161996261040535,9.119994407137467e-05
Fatty Acid Metabolism(Acyl Carnitine),0.0013820420254155195,0.0001665851796608427
"Fatty Acid, Branched",0.00015234180144876782,2.6990381272324958e-05
"Fatty Acid, Dicarboxylate",0.000827827953608887,5.738905900445543e-05
"Fatty Acid, Monohydroxy",0.0018480041139915771,9.720816140488855e-05
Food Component/Plant,2.8746328636652385e-05,8.732077942023637e-05
"Fructose, Mannose and Galactose Metabolism",0.0007422998305592312,0.00012941546448784518
Gamma-glutamyl Amino Acid,0.002397657498615574,0.00011077979731194691
Glutamate Metabolism,0.0011463920577847056,6.284879365220935e-05
Glutathione Metabolism,0.0003868398235974151,3.544015923485665e-05
Glycerolipid Metabolism,0.0023657344074747735,0.00011083862519737801
"Glycine, Serine and Threonine Metabolism",-0.00022881402655692022,0.00010429261958402326
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",0.0020886423734687563,0.0001259214111933555
Hemoglobin and Porphyrin Metabolism,0.0007071262301858185,3.868057926330649e-05
Histidine Metabolism,0.0001597939017349332,1.815773211788115e-05
Inositol Metabolism,5.130550592149878e-06,3.556502894310154e-06
Ketone Bodies,-0.00010168242014557516,5.6394876682747464e-05
"Leucine, Isoleucine and Valine Metabolism",0.005396852501075526,0.00021076851099619158
Long Chain Fatty Acid,0.005217306441362596,0.00021132556071839213
Lysine Metabolism,0.00010232862418238542,2.1103337503103428e-05
Lysolipid,0.0038776226091887587,0.00013907500312418234
Medium Chain Fatty Acid,0.002332710883693356,0.00013284009037827158
"Methionine, Cysteine, SAM and Taurine Metabolism",0.0006703691008169737,4.1658405496136675e-05
Monoacylglycerol,6.702378343857326e-05,1.0385122924210818e-05
Oxidative Phosphorylation,0.0006703928321959094,4.068972107872976e-05
Pantothenate and CoA Metabolism,0.0015159843478047884,7.858195925433147e-05
Phenylalanine and Tyrosine Metabolism,0.004532355805898071,0.00016585781757374654
Phospholipid Metabolism,0.0012087925494185026,5.7105973037655884e-05
Polyamine Metabolism,-2.2979624929856224e-05,1.2144640255539727e-05
Polyunsaturated Fatty Acid (n3 and n6),0.003543271685770346,0.00013701095367068473
Primary Bile Acid Metabolism,-4.61654175051274e-05,2.010519073015548e-05
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.00026795202054375735,1.8980194747675364e-05
"Purine Metabolism, Guanine containing",5.368208015635496e-05,8.455725838533166e-06
"Pyrimidine Metabolism, Uracil containing",0.00013557866124053113,2.582662801138455e-05
Secondary Bile Acid Metabolism,-0.00015350307106395578,2.1706129373949442e-05
Sphingolipid Metabolism,0.00010521170007892324,2.5898330117646416e-05
Steroid,-0.001018720490743624,0.0002970458702838053
Sterol,6.982130506382723e-05,1.2226764902607402e-05
TCA Cycle,-0.00033347994345752524,4.990714416401243e-05
Tocopherol Metabolism,0.00038739432647713016,2.1064537594532123e-05
Tryptophan Metabolism,0.0008990103038081831,5.888459990931835e-05
Unknown,0.005991870772370008,0.0001901391746009713
Urea cycle; Arginine and Proline Metabolism,0.002806523044887554,0.0001548530982503681
Vitamin B6 Metabolism,0.0019743656676567646,0.0001275813681358529
Xanthine Metabolism,0.0003783818283432884,3.967693785898331e-05
